Drug,Target(Gene Name),Target(Gene Symbol),Active Indication(Indication Name),Originator Organization,Drug Highest Phase,Drug Approved Country/Location,Approval Date
Vudalimab,CTLA4 + PD-1,"CTLA4, PDCD1","Colonic Cancer | Rectal Cancer | Colorectal Cancer | Anaplastic Thyroid Carcinoma | Clear Cell Adenocarcinoma | Endometrial Carcinoma | Metastatic Thyroid Gland Carcinoma | Ovarian Cancer | Thyroid Cancer, Hurthle Cell | Uterine Cervical Cancer | Advanced Bile Duct Carcinoma | Metastatic castration-resistant prostate cancer | Castration-Resistant Prostatic Cancer | Advanced Lung Non-Small Cell Carcinoma | Non-squamous non-small cell lung cancer | Hormone sensitive prostate cancer | Prostatic cancer metastatic | Advanced Malignant Solid Neoplasm | Basal Cell Carcinoma | Breast Cancer | Cholangiocarcinoma | Fallopian Tube Carcinoma | Gastroesophageal junction adenocarcinoma | Hepatocellular Carcinoma | Melanoma | Mesothelioma | Nasopharyngeal Carcinoma | Neuroendocrine Carcinoma | Renal Cell Carcinoma | Salivary gland carcinoma | Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | squamous cell carcinoma of the anus | Squamous Cell Carcinoma of the Penis | thymic carcinoma | Thymoma | Urothelial Carcinoma of the Urinary Bladder | Vulvar Neoplasms","Xencor, Inc.","Phase 1,2",-,-
Xentuzumab,IGF-1 + IGF-2,"IGF1, IGF2",Breast Cancer | Hormone receptor positive HER2 negative breast cancer | Metastatic breast cancer | Non-Small Cell Lung Cancer | Prostatic Cancer | Castration-Resistant Prostatic Cancer | Metastatic castration-resistant prostate cancer | Advanced Malignant Solid Neoplasm,C.H. Boehringer Sohn AG & Co. KG,"Phase 1,2",-,-
Zenocutuzumab,HER2 + HER3,"ERBB2, ERBB3",Metastatic castration-resistant prostate cancer | Estrogen receptor positive breast cancer | HER2 Positive Breast Cancer | Metastatic breast cancer | NRG1 Fusion Positive non–small cell lung cancer | NRG1 Fusion Positive Pancreatic Cancer | NRG1 Fusion Positive Solid Tumors,Merus NV,"Phase 1,2",-,-
ABL-105,4-1BB + HER2,"TNFRSF9, ERBB2",HER2 Positive Solid Tumors | Metastatic Solid Tumor | Stomach Cancer,"ABL Bio, Inc.","Phase 1,2",-,-
AFM-24,CD16a + EGFR,"FCGR3A, EGFR",Solid tumor,Affimed GmbH,"Phase 1,2",-,-
ALG.APV-527,4-1BB + 5T4,"TNFRSF9, TPBG",Solid tumor,"Aptevo Therapeutics, Inc.","Phase 1,2",-,-
anti-CD30 Bispecific Antibody-armed anti-CD3-Activated Autologous T-cells(Medical College of Wisconsin),CD3 + CD30,"CD3E, TNFRSF8",Acute Lymphoblastic Leukemia | Anaplastic Large-Cell Lymphoma | CD-30 positive pleomorphic large T-cell cutaneous lymphoma | CD-30 positive T-immunoblastic cutaneous lymphoma | CD30-positive diffuse large B-cell lymphoma | Chondrosarcoma | Leukemia | Neuroblastoma | Solid tumor,Medical College of Wisconsin Research Foundation,"Phase 1,2",-,-
AP-203,4-1BB + PDL1,"TNFRSF9, CD274",Esophageal Squamous Cell Carcinoma | Non-Small Cell Lung Cancer | Solid tumor | Squamous Cell Carcinoma of Head and Neck | Neoplasms,"AP Biosciences, Inc.","Phase 1,2",-,-
Bavunalimab,CTLA4 + LAG3,"CTLA4, LAG3",Central Nervous System Diseases | Metastatic melanoma | Advanced Malignant Solid Neoplasm | Anus Neoplasms | Endometrial Carcinoma | Fallopian Tube Carcinoma | Gastroesophageal junction adenocarcinoma | Hepatocellular Carcinoma | Intrahepatic Cholangiocarcinoma | Melanoma | Nasopharyngeal Carcinoma | Non-Small Cell Lung Cancer | Ovarian Epithelial Carcinoma | Pancreatic Carcinoma | Primary peritoneal carcinoma | Prostatic Cancer | Renal Cell Carcinoma | Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck | Squamous Cell Carcinoma of the Penis | Squamous cell carcinoma of vulva | Transitional Cell Carcinoma | Triple Negative Breast Cancer | Urothelial Carcinoma of the Urinary Bladder | Uterine Cervical Cancer,"Xencor, Inc.","Phase 1,2",-,-
BCA-101,EGFR + TGF-β,"EGFR, -",Anal canal squamous cell carcinoma | Squamous Cell Carcinoma of Head and Neck | Colorectal Cancer | Cutaneous Squamous Cell Carcinoma | EGFR mutation Solid Tumors | Ovarian Epithelial Carcinoma | Pancreatic Cancer | squamous cell lung carcinoma | Neoplasms,"Bicara Therapeutics, Inc.","Phase 1,2",-,-
BI-836880,Ang2 + VEGF,"ANGPT2, VEGFA","Wet age-related macular degeneration | Wet Macular Degeneration | Advanced cancer | Advanced Malignant Solid Neoplasm | Metastatic Non-Squamous Non-Small Cell Lung Carcinoma | Dystrophy, Macular | Non-Small Cell Lung Cancer",Ablynx NV,"Phase 1,2",-,-
BMS-986442,CD96 + TIGIT,"CD96, TIGIT",FGF19 positive Solid Tumors | Non-Small Cell Lung Cancer | Stomach Cancer | Colonic Cancer | Gastroesophageal junction adenocarcinoma | Squamous Cell Carcinoma of Head and Neck,"Agenus, Inc.","Phase 1,2",-,-
BNT-142,CD3 + CLDN6,"CD3E, CLDN6",CLDN6-positive Solid Tumors | Solid tumor,BioNTech SE,"Phase 1,2",-,-
BPB-101,PDL1 + TGF-β,"CD274, -",Advanced Malignant Solid Neoplasm | Solid tumor,"Betta Pharmaceuticals Co., Ltd.","Phase 1,2",-,-
Cibisatamab,CD3 + CEA,-,Metastatic Colorectal Carcinoma | Metastatic Microsatellite Stable Colorectal Carcinoma,F. Hoffmann-La Roche Ltd.,"Phase 1,2",-,-
CM 355,CD20 + CD3,"MS4A1, CD3E",B-Cell Lymphoma | B-cell lymphoma refractory | Hematoma | Lymphoma | CD20 positive Hematologic Neoplasms,"Keymed Biomedical Technology (Chengdu) Co., Ltd. | InnoCare Pharma Ltd.","Phase 1,2",-,-
CM-336,BCMA + CD3,"TNFRSF17, CD3E",Multiple Myeloma | Plasma cell myeloma refractory | Relapse multiple myeloma,"Keymed Biomedical Technology (Chengdu) Co., Ltd.","Phase 1,2",-,-
CM-350,CD3 + GPC3,"CD3E, GPC3",Advanced Malignant Solid Neoplasm | Solid tumor,"Keymed Biomedical Technology (Chengdu) Co., Ltd.","Phase 1,2",-,-
CN-201,CD19 + CD3,"CD19, CD3E",Pre B-cell acute lymphoblastic leukemia | B-cell lymphoma recurrent | B-cell lymphoma refractory | B-Cell Lymphoma,Curon Biopharmaceutical Ltd.,"Phase 1,2",-,-
CN-202,PDL1 + TGF-β,"CD274, -",Hematologic Neoplasms | Solid tumor,Curon Biopharmaceutical Ltd.,"Phase 1,2",-,-
DuoBody-EpCAMx4-1BB,4-1BB + EpCAM,"TNFRSF9, EPCAM",Solid tumor | Advanced Malignant Solid Neoplasm,Genmab A/S | BioNTech SE,"Phase 1,2",-,-
EMB-02,LAG3 + PD-1,"LAG3, PDCD1",Advanced Malignant Solid Neoplasm | Solid tumor,"EpimAb Biotherapeutics, Inc.","Phase 1,2",-,-
EMB-06,BCMA + CD3,"TNFRSF17, CD3E",Bone Marrow Neoplasms | Plasma cell myeloma refractory | Relapsed/refractory multiple myeloma | Relapse multiple myeloma,"EpimAb Biotherapeutics, Inc.","Phase 1,2",-,-
EX-103,CD20 + CD3,"MS4A1, CD3E",CD20 positive Non-Hodgkin Lymphoma | B-Cell Chronic Lymphocytic Leukemia | Non-Hodgkin Lymphoma,"Excelmab, Inc.","Phase 1,2",-,-
Fidasimtamab,HER2 + PD-1,"ERBB2, PDCD1",Gastrooesophageal junction cancer | Advanced Malignant Solid Neoplasm | Tumor of advanced extent,"Hanmi Pharmaceutical Co., Ltd. | Innovent Biologics, Inc.","Phase 1,2",-,-
Forimtamig,CD3 + GPRC5D,"CD3E, GPRC5D",Multiple Myeloma | Relapsed/refractory multiple myeloma | Plasma cell myeloma refractory | Relapse multiple myeloma,-,"Phase 1,2",-,-
GB-261,CD20 + CD3,"MS4A1, CD3E",B-Cell Lymphoma | Small Lymphocytic Lymphoma | B-Cell Chronic Lymphocytic Leukemia | B-cell lymphoma refractory | Lymphoid Leukemia | Refractory Transformed Indolent B-Cell Non-Hodgkin Lymphoma,"Genor Biopharma Co., Ltd.","Phase 1,2",-,-
GEN-1042,4-1BB + CD40L,"TNFRSF9, CD40LG",Solid tumor | Colorectal Cancer | Malignant Solid Neoplasm | Melanoma | Non-Small Cell Lung Cancer | Pancreatic Ductal Adenocarcinoma | Squamous Cell Carcinoma of Head and Neck,Genmab A/S,"Phase 1,2",-,-
GEN-1047,B7-H4 + CD3,"VTCN1, CD3E",Breast Cancer | Endometrial Carcinoma | Malignant Solid Neoplasm | Ovarian Cancer | Squamous non-small cell lung cancer,Genmab A/S,"Phase 1,2",-,-
GEN-3017,CD3 + CD30,"CD3E, TNFRSF8",Classical Hodgkin's Lymphoma | CD30 positive Non-Hodgkin Lymphoma | CD30+ Hodgkin's Lymphoma,Genmab A/S,"Phase 1,2",-,-
GNR-084,CD19 + CD3,"CD19, CD3E",Pre B-cell acute lymphoblastic leukemia | Refractory B Acute Lymphoblastic Leukemia | B-Cell Lymphoma,Generium,"Phase 1,2",-,-
HB-0028,PDL1 + TGF-β,"CD274, -",Advanced Malignant Solid Neoplasm | Uterine Cervical Cancer | Solid tumor,"Zhejiang Huahai Pharmaceutical Co., Ltd.","Phase 1,2",-,-
HB-0036,PDL1 + TIGIT,"CD274, TIGIT",Non-Small Cell Lung Cancer | Solid tumor,Huabo Biopharm Co Ltd.,"Phase 1,2",-,-
HBM7022,CD3 + CLDN18.2,-,Adenocarcinoma of Esophagus | Gastrooesophageal junction cancer | Late gastric cancer | Pancreatic Cancer | Pancreatic Ductal Adenocarcinoma | Solid tumor | Stomach Cancer,Harbour Biomed Therapeutics Ltd.,"Phase 1,2",-,-
IBI-334,CD276 + EGFR,"CD276, EGFR",Unresectable Solid Neoplasm | FGF19 positive Solid Tumors | Solid tumor,Innovent Biologics (Suzhou) Co. Ltd.,"Phase 1,2",-,-
IMM-0306,CD20 + CD47,"MS4A1, CD47",Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | Mantle-Cell Lymphoma | Marginal zone lymphoma recurrent | Non-Hodgkin Lymphoma | CD20 Positive B-Cell Non-Hodgkin Lymphoma,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Phase 1,2",-,-
IMM-2902,CD47 + HER2 + SIRPα,"CD47, ERBB2, SIRPA",Advanced Cholangiocarcinoma | Advanced gastric carcinoma | Advanced Malignant Solid Neoplasm | HER2-Expressing Cancers | Lung Cancer | Solid tumor | Advanced breast cancer | HER2 Positive Solid Tumors,"ImmuneOnco Biopharmaceuticals (Shanghai) Co., Ltd.","Phase 1,2",-,-
Imvotamab,CD20 + CD3,"MS4A1, CD3E",Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | Mantle-Cell Lymphoma | Marginal Zone B-Cell Lymphoma | Rheumatoid Arthritis | Systemic Lupus Erythematosus | Myositis,"IGM Biosciences, Inc.","Phase 1,2",-,-
ISB-1442,CD38 + CD47,"CD38, CD47",Plasma cell myeloma refractory | Relapse multiple myeloma | Relapsed/refractory multiple myeloma | Acute Myeloid Leukemia,"Ichnos Sciences, Inc.","Phase 1,2",-,-
JS-201,PD-1 + TGF-β,"PDCD1, -",Neoplasms | Tumor of advanced extent,"Shanghai Junshi Biosciences Co., Ltd.","Phase 1,2",-,-
JS-203,CD20 + CD3,"MS4A1, CD3E",Neoplasms | B-cell lymphoma refractory | B-Cell Lymphoma,"Shanghai Junshi Biosciences Co., Ltd.","Phase 1,2",-,-
JS-207,PD-1 + VEGF,"PDCD1, VEGFA",Neoplasms | Tumor of advanced extent,"Shanghai Junshi Biosciences Co., Ltd.","Phase 1,2",-,-
JSKN-033,HER2 + PDL1,"ERBB2, CD274",Solid tumor | HER2 Positive Solid Tumors,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd","Phase 1,2",-,-
KN-052,OX40 + PDL1,"TNFRSF4, CD274",Solid tumor,"Suzhou Alphamab Co., Ltd.","Phase 1,2",-,-
LAVA-051,CD1d + TCRDV2,"CD1d, TRDV2",Acute Myeloid Leukemia | B-Cell Chronic Lymphocytic Leukemia | Chronic lymphocytic leukaemia refractory | Multiple Myeloma | Recurrent Chronic Lymphoid Leukemia | Solid tumor,VUmc,"Phase 1,2",-,-
LAVA-1207,PSMA + TCRDV2,"FOLH1, TRDV2",Metastatic castration-resistant prostate cancer,VUmc,"Phase 1,2",-,-
LB101 (Centessa Pharmaceuticals ),CD47 + PDL1,"CD47, CD274",Advanced Malignant Solid Neoplasm | Solid tumor,Centessa Pharmaceuticals Plc,"Phase 1,2",-,-
LBL-015,PD-1 + TGF-β,"PDCD1, -",Solid tumor | Advanced Malignant Solid Neoplasm,"Nanjing Leads Biolabs Co., Ltd.","Phase 1,2",-,-
LBL-024,4-1BB + PDL1,"TNFRSF9, CD274",Advanced Neuroendocrine Carcinoma | Tumor of advanced extent | Advanced Malignant Solid Neoplasm,"Nanjing Leads Biolabs Co., Ltd.","Phase 1,2",-,-
LBL-033,CD3 + MUC16,"CD3E, MUC16",Neoplasms | Ovarian Cancer | MUC16 Positive Malignancies,"Nanjing Leads Biolabs Co., Ltd.","Phase 1,2",-,-
LBL-034,CD3 + GPRC5D,"CD3E, GPRC5D",Plasma cell myeloma refractory | Multiple Myeloma,"Nanjing Leads Biolabs Co., Ltd.","Phase 1,2",-,-
LM-24C5,4-1BB + CEACAM5,"TNFRSF9, CEACAM5",Advanced Malignant Solid Neoplasm | Solid tumor | Gastrointestinal Neoplasms | Lung Cancer | Colorectal Cancer,LaNova Medicines Ltd.,"Phase 1,2",-,-
MBS-303,CD20 + CD3,"MS4A1, CD3E",B-cell lymphoma refractory | CD20 Positive B-Cell Non-Hodgkin Lymphoma,"Beijing Mabworks Biotech Co., Ltd.","Phase 1,2",-,-
MCLA-129,EGFR + c-Met,"EGFR, MET",Colorectal Cancer | Head and Neck Neoplasms | Non-Small Cell Lung Cancer | Esophageal Squamous Cell Carcinoma | FGF19 positive Solid Tumors | metastatic non-small cell lung cancer | Squamous Cell Carcinoma of Head and Neck | Stomach Cancer | Advanced Lung Non-Small Cell Carcinoma | EGFR-mutated non-small Cell Lung Cancer | Solid tumor | EGFR exon 19 Deletions Mutant Non-small Cell Lung Cancer | EGFR exon 21 Substitution Mutant Non-small Cell Lung Cancer,Merus NV,"Phase 1,2",-,-
NGM-707,LILRB1 + LILRB2,"LILRB1, LILRB2",-,"NGM Biopharmaceuticals, Inc.","Phase 1,2",-,-
Petosemtamab,EGFR + LGR5,"EGFR, LGR5",Advanced Malignant Solid Neoplasm | Gastrooesophageal junction cancer | Metastatic Colorectal Carcinoma | Non-Small Cell Lung Cancer | Squamous Cell Carcinoma of Head and Neck,Merus NV,"Phase 1,2",-,-
PM-1003,4-1BB + PDL1,"TNFRSF9, CD274",Solid tumor | Advanced Malignant Solid Neoplasm,"Pumis Biotechnology (Zhuhai) Co., Ltd.","Phase 1,2",-,-
PRS-344,4-1BB + PDL1,"TNFRSF9, CD274",Solid tumor | Advanced Malignant Solid Neoplasm | Neoplasms,"Pieris Pharmaceuticals, Inc.","Phase 1,2",-,-
PT886,CD47 + CLDN18.2,"CD47, CLDN18",Advanced Pancreatic Ductal Adenocarcinoma | Metastatic Gastroesophageal Junction Adenocarcinoma | Pancreatic Ductal Adenocarcinoma | Gastrooesophageal junction cancer,"Phanes Therapeutics, Inc.","Phase 1,2",-,-
Q-1802,CLDN18.2 + PDL1,"CLDN18, CD274",Gastroesophageal junction adenocarcinoma | malignant carcinoid tumor of digestive tract | Advanced Malignant Solid Neoplasm,Qurebio Ltd.,"Phase 1,2",-,-
QLS-31905,CD3 + CLDN18,"CD3E, CLDN18",CLDN18.2 Positive Advanced Malignant Solid Neoplasm | CLDN18.2 positive  Solid Tumors | Claudin18.2-positive / HER2-negative Solid Tumors | Advanced Malignant Solid Neoplasm,"Qilu Pharmaceutical Co., Ltd.","Phase 1,2",-,-
Recombinant anti-PD-L1/TGF-β bispecific antibody,PDL1 + TGF-β,"CD274, -",Advanced Hepatocellular Carcinoma | Pancreatic Cancer | Locally Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Small Cell Lung Cancer,"Wuhan YZY Biopharma Co., Ltd.","Phase 1,2",-,-
REGN-5459,BCMA + CD3,"TNFRSF17, CD3E",Chronic Kidney Diseases | Plasma cell myeloma refractory | Relapse multiple myeloma,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
REGN-5668,CD28 + MUC16,"CD28, MUC16",Fallopian Tube Carcinoma | Primary peritoneal carcinoma | Recurrent ovarian cancer,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
REGN-5678,CD28 + PSMA,"CD28, FOLH1",Metastatic castration-resistant prostate cancer | Renal Cell Carcinoma,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
REGN-7075,CD28 + EGFR,"CD28, EGFR",Advanced cancer | Advanced Malignant Solid Neoplasm,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
REGN4336,CD3 + PSMA,"CD3E, FOLH1",Advanced Prostate Carcinoma | Metastatic castration-resistant prostate cancer | Castration-Resistant Prostatic Cancer,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
RG7826,4-1BB + FAP,"TNFRSF9, FAP",Colorectal Cancer,Roche Holding AG,"Phase 1,2",-,-
Sabestomig,PD-1 + TIM3,"PDCD1, HAVCR2",Refractory Classic Hodgkin Lymphoma | Relapsing classical Hodgkin lymphoma | Gastrooesophageal junction cancer | Metastatic Solid Tumor | Non-Small Cell Lung Cancer | Recurrent Hodgkin Lymphoma | Refractory Hodgkin Lymphoma | Solid tumor,AstraZeneca PLC,"Phase 1,2",-,-
SAL-008,CTLA4 + IL-15Rα,"CTLA4, IL15RA",Locally advanced breast cancer | Locally Advanced Melanoma | Metastatic breast cancer | Metastatic Colorectal Carcinoma | Metastatic melanoma | Solid tumor | Neoplasms,"Shenzhen Salubris Pharmaceuticals Co., Ltd.","Phase 1,2",-,-
SMET-12,CD3 + EGFR,"CD3E, EGFR",EGFR positive Neoplasms | Solid tumor | EGFR positive non-small cell lung cancer,"Zhejiang Shimai Pharmaceutical Co., Ltd.","Phase 1,2",-,-
TNB-486,CD19 + CD3,"CD19, CD3E",Pre B-cell acute lymphoblastic leukemia | Burkitt Lymphoma | B-cell lymphoma refractory | Diffuse Large B-Cell Lymphoma | Follicular Lymphoma | High grade B-cell lymphoma,"TeneoBio, Inc.","Phase 1,2",-,-
TQB-2868,PD-1 + TGF-β,"PDCD1, -",Advanced Hepatocellular Carcinoma | Locally Advanced Malignant Neoplasm | Tumor of advanced extent,"Nanjing Shunxin Pharmaceutical Co., Ltd.","Phase 1,2",-,-
Ubamatamab,CD3 + MUC16,"CD3E, MUC16",Primary peritoneal carcinoma | Fallopian Tube Carcinoma | MUC16 Positive Malignancies | Recurrent Endometrial Cancer | Recurrent ovarian cancer | Recurrent Primary Peritoneal Carcinoma,"Regeneron Pharmaceuticals, Inc.","Phase 1,2",-,-
ZG-005,PD-1 + TIGIT,"PDCD1, TIGIT",Advanced Cervical Carcinoma | Advanced Malignant Solid Neoplasm | Solid tumor,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.","Phase 1,2",-,-
ZGGS18,TGF-β + VEGF,-,Advanced Malignant Solid Neoplasm | Solid tumor,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.","Phase 1,2",-,-
A-319,CD19 + CD3,"CD19, CD3E",Leukemia | Lymphoma | Pre B-cell acute lymphoblastic leukemia | B-Cell Lymphoma | Acute Lymphoblastic Leukemia | B-Cell Chronic Lymphocytic Leukemia,Evive Biotech,"Phase 1,2",-,-
A-337,CD3 + EpCAM,"CD3E, EPCAM",Malignant Solid Neoplasm | Neoplasms | EpCAM positive Solid Tumors,Evive Biotech,"Phase 1,2",-,-
ABL-103,4-1BB + B7-H4,"TNFRSF9, VTCN1",Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Triple Negative Breast Cancer | Solid tumor,"Handok, Inc. | ABL Bio, Inc.","Phase 1,2",-,-
ABL-501,LAG3 + PDL1,"LAG3, CD274",Advanced Malignant Solid Neoplasm | Solid tumor,"ABL Bio, Inc.","Phase 1,2",-,-
ABL-503,4-1BB + PDL1,"TNFRSF9, CD274",Advanced Malignant Solid Neoplasm,"I-Mab Biopharma (Shanghai) Co., Ltd. | ABL Bio, Inc.","Phase 1,2",-,-
Acapatamab,CD3 + PSMA,"CD3E, FOLH1",Metastatic castration-resistant prostate cancer,"Amgen, Inc.","Phase 1,2",-,-
AFM-28,CD123 + CD16a,"IL3RA, FCGR3A",CD123 Positive Acute Myeloid Leukemia | Relapsing acute myeloid leukemia | Acute Myeloid Leukemia | Myelodysplastic Syndromes,Affimed GmbH,"Phase 1,2",-,-
AK-129,LAG3 + PD-1,"LAG3, PDCD1",Tumor of advanced extent | Neoplasms,"Akeso Biopharma Co., Ltd.","Phase 1,2",-,-
AK-130,TGF-β + TIGIT,"-, TIGIT",Neoplasms | Tumor of advanced extent | Advanced Hepatocellular Carcinoma,"Akeso Biopharma Co., Ltd.","Phase 1,2",-,-
AK-131,CD73 + PD-1,"NT5E, PDCD1",Advanced Malignant Solid Neoplasm,"Akeso Biopharma Co., Ltd.","Phase 1,2",-,-
AK-132,CD47 + CLDN18.2,"CD47, CLDN18",Advanced Malignant Solid Neoplasm,"Akeso Biopharma Co., Ltd.","Phase 1,2",-,-
AMG-199,CD3 + MUC17,"CD3E, MUC17",Gastrooesophageal junction cancer | Solid tumor | Esophageal Carcinoma | Stomach Cancer,"Amgen, Inc.","Phase 1,2",-,-
AMG-340,CD3 + PSMA,"CD3E, FOLH1",Castration-Resistant Prostatic Cancer | Metastatic castration-resistant prostate cancer | Hormone refractory prostate cancer,"TeneoBio, Inc.","Phase 1,2",-,-
AMG-562,CD19 + CD3,"CD19, CD3E",Diffuse Large B-Cell Lymphoma | Diffuse large B-cell lymphoma recurrent | Follicular Lymphoma | Mantle-Cell Lymphoma,"Amgen, Inc.","Phase 1,2",-,-
AMG-794,CD3 + CLDN6,"CD3E, CLDN6",Malignant Solid Neoplasm | metastatic non-small cell lung cancer | Non-squamous non-small cell lung cancer | Ovarian Epithelial Carcinoma,"Amgen, Inc.","Phase 1,2",-,-
Anti-CD33/anti-FcgammaRI bispecific antibody(University of California San Diego),CD33 + CD64,"CD33, FCGR1A",Acute Myeloid Leukemia,University of California San Diego,"Phase 1,2",-,-
Anti-EGFR-bispecific antibody armed activated T-cell therapy(Memorial Sloan-Kettering Cancer Center),CD3 + EGFR,"CD3E, EGFR",Pancreatic adenocarcinoma | Pancreatic Cancer,Memorial Sloan Kettering Cancer Center,"Phase 1,2",-,-
APVO436,CD123 + CD3,"IL3RA, CD3E",Myelodysplastic Syndromes | Refractory acute myeloid leukemia,"Aptevo Therapeutics, Inc.","Phase 1,2",-,-
ARB-202,CD3 + CDH17,"CD3E, CDH17",Cholangiocarcinoma | Liver Cancer | Pancreatic Cancer | Stomach Cancer | Biliary Tract Neoplasms | Pancreatic Carcinoma,Arbele Corp.,"Phase 1,2",-,-
ASP-2074,CD3 + TSPAN8,"CD3E, TSPAN8",Locally Advanced Malignant Solid Neoplasm | Solid tumor,"Astellas Pharma Global Development, Inc.","Phase 1,2",-,-
ASP2138,CD3 + CLDN18.2,-,Gastrooesophageal junction cancer | Metastatic Gastroesophageal Junction Adenocarcinoma | Pancreatic adenocarcinoma metastatic | stomach adenocarcinoma | Pancreatic Carcinoma | CLDN18.2 positive  Gastroesophageal junction adenocarcinoma | CLDN18.2 positive  Pancreatic adenocarcinoma,"Astellas Pharma, Inc. | Xencor, Inc.","Phase 1,2",-,-
ATG-101,4-1BB + PDL1,"TNFRSF9, CD274",Non-Hodgkin Lymphoma | Solid tumor | Hematologic Neoplasms | B-Cell Lymphoma | Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Refractory Mature B-Cell Non-Hodgkin Lymphoma,"OriCell Therapeutics Co.,Ltd.","Phase 1,2",-,-
B-901,CD40 + PDL1,"CD40, CD274",Solid tumor,"FutureGen Biopharmaceutical (Beijing) Co., Ltd","Phase 1,2",-,-
B1962,PDL1 + VEGF,"CD274, VEGFA",Advanced Malignant Solid Neoplasm | Solid tumor,Shanghai Tasly Pharmaceutical Co. Ltd.,"Phase 1,2",-,-
BA-1201,PDL1 + TGF-β,"CD274, -",Gastrointestinal Neoplasms | Non-Small Cell Lung Cancer | Small Cell Lung Cancer | Transitional Cell Carcinoma | Uterine Cervical Cancer | Small Cell Carcinoma | malignant carcinoid tumor of digestive tract | Uterine Corpus Cancer,"Shandong Boan Biotechnology Co., Ltd.","Phase 1,2",-,-
BA-1202,CD3 + CEA,-,Solid tumor | Colorectal Cancer | Pancreatic Ductal Adenocarcinoma | Pancreatic Ductal Carcinoma,"Shandong Boan Biotechnology Co., Ltd.","Phase 1,2",-,-
BA-3182,CD3 + EpCAM,"CD3E, EPCAM",Adenocarcinoma,"BioAtla, Inc.","Phase 1,2",-,-
BAT-7104,CD47 + PDL1,"CD47, CD274",Solid tumor | Advanced Malignant Solid Neoplasm | Tumor of advanced extent | Locally Advanced Malignant Neoplasm,"Bio-Thera Solutions, Ltd.","Phase 1,2",-,-
BC-007 (Dragon Boat Biopharmaceutical),CD47 + CLDN18.2,"CD47, CLDN18",CLDN18.2 positive  Solid Tumors | Solid tumor,"Baochuan Biological Medicine Technology (Shanghai) Co., Ltd.","Phase 1,2",-,-
BC-3448,CD3 + EGFR,"CD3E, EGFR",Malignant Solid Neoplasm,"Wuxi Biocity Biopharmaceutics Co., Ltd.","Phase 1,2",-,-
BC008-1A,PD-1 + TIGIT,"PDCD1, TIGIT",Solid tumor,"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.","Phase 1,2",-,-
BGB-B167,4-1BB + CEACAM5,"TNFRSF9, CEACAM5",Advanced Malignant Solid Neoplasm | Metastatic Solid Tumor | Solid tumor,BeiGene Ltd.,"Phase 1,2",-,-
BH-3120,4-1BB + PDL1,"TNFRSF9, CD274",Metastatic Solid Tumor | Solid tumor,"Hanmi Pharmaceutical Co., Ltd.","Phase 1,2",-,-
BI-765049,CD3 + NCR3LG1,"CD3E, NCR3LG1",Head and Neck Neoplasms | Liver Cancer | Lung Cancer | Pancreatic Cancer | Solid tumor | Advanced Malignant Solid Neoplasm | Colorectal Cancer,Boehringer Ingelheim GmbH,"Phase 1,2",-,-
BI-765179,4-1BB + FAP,"TNFRSF9, FAP",Advanced Malignant Solid Neoplasm | Neoplasms | Solid tumor,Boehringer Ingelheim GmbH,"Phase 1,2",-,-
BI-905711,CDH17 + DR5,"CDH17, TNFRSF10B",Gastrointestinal cancer metastatic | Cholangiocarcinoma | Gastrointestinal Neoplasms | Pancreatic Cancer,Boehringer Ingelheim GmbH,"Phase 1,2",-,-
BJ-005,PDL1 + TGF-β,"CD274, -",Solid tumor | Advanced Lymphoma | Advanced Malignant Solid Neoplasm,BJ Bioscience Inc.,"Phase 1,2",-,-
BS-001,CD3 + c-Met,"CD3E, MET",Colorectal Cancer | Esophageal Carcinoma | Glioblastoma | Liver Cancer | Melanoma | Pancreatic Cancer | Neoplasms,Tongji University,"Phase 1,2",-,-
BSI-585,LILRB2 + PD-1,"LILRB2, PDCD1",Cholangiocarcinoma | Colorectal Cancer | Esophageal Carcinoma | Fallopian Tube Carcinoma | Liver Cancer | Non-Small Cell Lung Cancer | Ovarian Cancer | Pancreatic Cancer | Primary peritoneal carcinoma | Renal Cell Carcinoma | Stomach Cancer | Urothelial Carcinoma of the Urinary Bladder | Solid tumor,Tongji University,"Phase 1,2",-,-
